session_timestamp_ms,phase,gsr,ecg_raw
2786,relax,,1.144
2789,relax,,1.3
2791,relax,,1.725
2794,relax,,2.092
2797,relax,,2.116
2800,relax,,1.848
2802,relax,,1.481
2805,relax,,1.197
2808,relax,,1.261
2810,relax,,1.642
2813,relax,,2.048
2817,relax,,2.146
2819,relax,,1.926
2822,relax,,1.54
2825,relax,,1.197
2827,relax,,1.153
2830,relax,,1.457
2833,relax,,1.887
2836,relax,,2.077
2837,relax,1.34,
2838,relax,,1.97
2841,relax,,1.603
2844,relax,,1.251
2846,relax,,1.129
2849,relax,,1.364
2852,relax,,1.804
2854,relax,,2.087
2857,relax,,2.028
2861,relax,,1.76
2863,relax,,1.349
2866,relax,,1.149
2869,relax,,1.305
2871,relax,,1.755
2874,relax,,2.155
2877,relax,,2.229
2880,relax,,1.994
2882,relax,,1.632
2885,relax,,1.369
2888,relax,,1.442
2890,relax,,1.862
2893,relax,,2.317
2896,relax,,2.419
2898,relax,,2.204
2902,relax,,1.828
2905,relax,,1.51
2907,relax,,1.491
2910,relax,,1.857
2913,relax,,2.341
2916,relax,,2.551
2918,relax,,2.4
2921,relax,,2.023
2924,relax,,1.667
2926,relax,,1.544
2929,relax,,1.789
2932,relax,,2.258
2934,relax,,2.517
2937,relax,,2.424
2940,relax,,2.082
2942,relax,,1.686
2946,relax,,1.457
2949,relax,,1.593
2951,relax,,2.019
2954,relax,,2.37
2957,relax,,2.4
2960,relax,,2.126
2962,relax,,1.735
2965,relax,,1.452
2968,relax,,1.5
2970,relax,,1.891
2973,relax,,2.331
2976,relax,,2.444
2978,relax,,2.219
2981,relax,,1.823
2984,relax,,1.476
2987,relax,,1.427
2990,relax,,1.735
2993,relax,,2.209
2996,relax,,2.419
2998,relax,,2.287
3001,relax,,1.896
3004,relax,,1.52
3006,relax,,1.383
3009,relax,,1.628
3012,relax,,2.102
3014,relax,,2.405
3017,relax,,2.336
3020,relax,,1.999
3022,relax,,1.613
3025,relax,,1.393
3028,relax,,1.559
3031,relax,,2.023
3034,relax,,2.41
3037,relax,,2.439
3040,relax,1.53,2.151
3042,relax,,1.735
3045,relax,,1.422
3048,relax,,1.466
3050,relax,,1.857
3053,relax,,2.297
3056,relax,,2.414
3058,relax,,2.204
3061,relax,,1.789
3064,relax,,1.461
3066,relax,,1.437
3069,relax,,1.813
3073,relax,,2.336
3076,relax,,2.595
3078,relax,,2.478
3081,relax,,2.126
3084,relax,,1.76
3086,relax,,1.632
3089,relax,,1.911
3092,relax,,2.414
3094,relax,,2.698
3097,relax,,2.615
3100,relax,,2.263
3102,relax,,1.852
3105,relax,,1.628
3108,relax,,1.799
3111,relax,,2.263
3113,relax,,2.664
3117,relax,,2.669
3120,relax,,2.361
3122,relax,,1.945
3125,relax,,1.652
3128,relax,,1.706
3130,relax,,2.111
3133,relax,,2.542
3136,relax,,2.644
3138,relax,,2.395
3141,relax,,1.975
3144,relax,,1.618
3147,relax,,1.544
3149,relax,,1.857
3152,relax,,2.312
3155,relax,,2.512
3158,relax,,2.361
3161,relax,,1.984
3164,relax,,1.618
3166,relax,,1.486
3169,relax,,1.755
3172,relax,,2.239
3175,relax,,2.527
3177,relax,,2.434
3180,relax,,2.067
3183,relax,,1.637
3185,relax,,1.408
3188,relax,,1.554
3191,relax,,2.004
3193,relax,,2.356
3196,relax,,2.356
3200,relax,,2.067
3202,relax,,1.662
3205,relax,,1.388
3208,relax,,1.442
3210,relax,,1.848
3213,relax,,2.283
3216,relax,,2.41
3219,relax,,2.199
3221,relax,,1.828
3224,relax,,1.5
3227,relax,,1.447
3229,relax,,1.774
3232,relax,,2.239
3235,relax,,2.444
3237,relax,,2.283
3240,relax,,1.911
3243,relax,1.53,
3244,relax,,1.535
3246,relax,,1.388
3249,relax,,1.623
3252,relax,,2.082
3255,relax,,2.37
3257,relax,,2.302
3260,relax,,1.965
3263,relax,,1.569
3265,relax,,1.354
3268,relax,,1.491
3271,relax,,1.926
3273,relax,,2.292
3276,relax,,2.312
3279,relax,,2.023
3281,relax,,1.637
3284,relax,,1.354
3288,relax,,1.422
3291,relax,,1.808
3293,relax,,2.248
3296,relax,,2.336
3299,relax,,2.131
3301,relax,,1.769
3304,relax,,1.461
3307,relax,,1.457
3309,relax,,1.794
3312,relax,,2.214
3315,relax,,2.317
3317,relax,,2.038
3320,relax,,1.554
3323,relax,,1.119
3326,relax,,0.909
3329,relax,,1.065
3332,relax,,1.481
3335,relax,,1.823
3337,relax,,1.877
3340,relax,,1.696
3343,relax,,1.432
3345,relax,,1.339
3348,relax,,1.613
3351,relax,,2.195
3353,relax,,2.664
3356,relax,,2.727
3359,relax,,2.424
3362,relax,,1.979
3364,relax,,1.642
3367,relax,,1.628
3371,relax,,1.975
3373,relax,,2.351
3376,relax,,2.395
3379,relax,,2.111
3381,relax,,1.686
